Algorithm,DataType,ArraySize,AverageTimeNs,AverageTimeMs
MergeSort,MANY_DUPLICATES,1000,1461558,1.461558
HeapSort,MANY_DUPLICATES,1000,1854108,1.854108
SelectionSort,MANY_DUPLICATES,1000,16761300,16.761300
QuickSort,MANY_DUPLICATES,2000,13821566,13.821566
MergeSort,MANY_DUPLICATES,2000,3113292,3.113292
HeapSort,MANY_DUPLICATES,2000,4172150,4.172150
SelectionSort,MANY_DUPLICATES,2000,66675425,66.675425
QuickSort,MANY_DUPLICATES,5000,81960033,81.960033
MergeSort,MANY_DUPLICATES,5000,9039758,9.039758
HeapSort,MANY_DUPLICATES,5000,11448483,11.448483
SelectionSort,MANY_DUPLICATES,5000,413436808,413.436808
QuickSort,MANY_DUPLICATES,10000,322311066,322.311066
MergeSort,MANY_DUPLICATES,10000,18985241,18.985241
HeapSort,MANY_DUPLICATES,10000,24915216,24.915216
SelectionSort,MANY_DUPLICATES,10000,1645063191,1645.063191
QuickSort,NEGATIVE_NUMBERS,100,64258,0.064258
MergeSort,NEGATIVE_NUMBERS,100,110183,0.110183
HeapSort,NEGATIVE_NUMBERS,100,148358,0.148358
SelectionSort,NEGATIVE_NUMBERS,100,194149,0.194149
QuickSort,NEGATIVE_NUMBERS,500,377291,0.377291
MergeSort,NEGATIVE_NUMBERS,500,1079599,1.079599
HeapSort,NEGATIVE_NUMBERS,500,1513558,1.513558
SelectionSort,NEGATIVE_NUMBERS,500,5738550,5.738550
QuickSort,NEGATIVE_NUMBERS,1000,1533391,1.533391
MergeSort,NEGATIVE_NUMBERS,1000,1924233,1.924233
HeapSort,NEGATIVE_NUMBERS,1000,2619425,2.619425
SelectionSort,NEGATIVE_NUMBERS,1000,17523941,17.523941
QuickSort,MIXED_NEGATIVE_POSITIVE,100,51500,0.051500
MergeSort,MIXED_NEGATIVE_POSITIVE,100,105291,0.105291
HeapSort,MIXED_NEGATIVE_POSITIVE,100,122274,0.122274
SelectionSort,MIXED_NEGATIVE_POSITIVE,100,160891,0.160891
QuickSort,MIXED_NEGATIVE_POSITIVE,500,343208,0.343208
MergeSort,MIXED_NEGATIVE_POSITIVE,500,650099,0.650099
HeapSort,MIXED_NEGATIVE_POSITIVE,500,864708,0.864708
SelectionSort,MIXED_NEGATIVE_POSITIVE,500,4250116,4.250116
QuickSort,MIXED_NEGATIVE_POSITIVE,1000,857658,0.857658
MergeSort,MIXED_NEGATIVE_POSITIVE,1000,1452208,1.452208
HeapSort,MIXED_NEGATIVE_POSITIVE,1000,1960625,1.960625
SelectionSort,MIXED_NEGATIVE_POSITIVE,1000,16772183,16.772183
QuickSort,BIG_NUMBERS,100,50216,0.050216
MergeSort,BIG_NUMBERS,100,105983,0.105983
HeapSort,BIG_NUMBERS,100,120866,0.120866
SelectionSort,BIG_NUMBERS,100,157966,0.157966
QuickSort,BIG_NUMBERS,500,330550,0.330550
MergeSort,BIG_NUMBERS,500,650858,0.650858
HeapSort,BIG_NUMBERS,500,848633,0.848633
SelectionSort,BIG_NUMBERS,500,4045958,4.045958
QuickSort,BIG_NUMBERS,1000,786124,0.786124
MergeSort,BIG_NUMBERS,1000,1447624,1.447624
HeapSort,BIG_NUMBERS,1000,1968817,1.968817
SelectionSort,BIG_NUMBERS,1000,15996091,15.996091
QuickSort,BIG_NEGATIVE_NUMBERS,100,47316,0.047316
MergeSort,BIG_NEGATIVE_NUMBERS,100,106366,0.106366
HeapSort,BIG_NEGATIVE_NUMBERS,100,124466,0.124466
SelectionSort,BIG_NEGATIVE_NUMBERS,100,156299,0.156299
QuickSort,BIG_NEGATIVE_NUMBERS,500,334924,0.334924
MergeSort,BIG_NEGATIVE_NUMBERS,500,657924,0.657924
HeapSort,BIG_NEGATIVE_NUMBERS,500,871433,0.871433
SelectionSort,BIG_NEGATIVE_NUMBERS,500,4122775,4.122775
QuickSort,BIG_NEGATIVE_NUMBERS,1000,774183,0.774183
MergeSort,BIG_NEGATIVE_NUMBERS,1000,1446358,1.446358
HeapSort,BIG_NEGATIVE_NUMBERS,1000,1961941,1.961941
SelectionSort,BIG_NEGATIVE_NUMBERS,1000,16103616,16.103616
